"","StartDate","EndDate","Status","IPAddress","Progress","Duration..in.seconds.","Finished","RecordedDate","ResponseId","RecipientLastName","RecipientFirstName","RecipientEmail","ExternalReference","LocationLatitude","LocationLongitude","DistributionChannel","UserLanguage","consent_q","att1","att2","willing_friend_1","willing_romantic_1","wtp","true_1","talk_listen_1","not_judge_1","feel_1","understand_1","body_1","comp_1","comp_2","willing_friend_1.1","willing_romantic_1.1","wtp.1","true_1.1","talk_listen_1.1","not_judge_1.1","feel_1.1","understand_1.1","body_1.1","comp_1.1","comp_2.1","loneliness_1_1","loneliness_2_1","loneliness_3_1","ai_companion_exp","ai_companion_exp2","gender","gender_4_TEXT","ethnicity","ethnicity_6_TEXT","age","edu","edu_8_TEXT","ai_capability_1","Q14","completion_code","completion_code.1","willing_friend_post_1","willing_partner_post_1","wtp_post","true_post_1","talk_listen_post_1","not_judge_post_1","feel_post_1","understand_post_1","body_post_1","comp1_post","comp2_post","willing_friend_post_1.1","willing_partner_post_1.1","wtp_post.1","true_post_1.1","talk_listen_post_1.1","not_judge_post_1.1","feel_post_1.1","understand_post_1.1","body_post_1.1","comp1_post.1","comp2_post.1","believe_q","explain","interaction_type","will_interact","finished_conversation","Create.New.Field.or.Choose.From.Dropdown..."
"1","Start Date","End Date","Response Type","Anonymized","Progress","Duration (in seconds)","Finished","Recorded Date","Response ID","Recipient Last Name","Recipient First Name","Recipient Email","External Data Reference","Anonymized","Anonymized","Distribution Channel","User Language","Do you consent","This is an attention check. John is taller than Paul. Who is shorter?","What color is grass?



The fresh, uncut grass, not leaves or hay. Please make sure to select purple, so that we know you're paying attention.","How willing would you be to try to find a friend on Chatty?","How willing would you be to try to find a romantic partner on Chatty?","Imagine that you try out Chatty for a year, and that Chatty has a monthly subscription fee. How much would you be willing to pay per month? (typical apps cost anywhere between $0.00c and $10.00 per month.)



Please enter only the amount, without the dollar sign.","How much do you agree with the following statement?

 
Any friendship with a person on Chatty would not be a true friendship.","How much do you agree with the following statement? 

 
A person on Chatty would always be there to talk and listen to you.","How much do you agree with the following statement? 


A person on Chatty would always be on your side and not judge you.","How much do you agree with the following statement? 

 
A person on Chatty is unable to feel emotions.","How much do you agree with the following statement? 


A person on Chatty is unable to understand what you are saying.","How much do you agree with the following statement? 


A person on Chatty cannot provide physical intimacy.","You were shown a picture on a computer screen in the previous question. What did the picture represent?","What is Chatty?","How willing would you be to try to find a friend on Chatty?","How willing would you be to try to find a romantic partner on Chatty?","Imagine that you try out Chatty for a year, and that Chatty has a monthly subscription fee. How much would you be willing to pay per month? (typical apps cost anywhere between $0.00c and $10.00 per month.)



Please enter only the amount, without the dollar sign.","How much do you agree with the following statement?

 
Any friendship with an AI on Chatty would not be a true friendship.","How much do you agree with the following statement? 

 
An AI on Chatty would always be there to talk and listen to you.","How much do you agree with the following statement? 


An AI on Chatty would always be on your side and not judge you.","How much do you agree with the following statement? 

 
An AI on Chatty is unable to feel emotions.","How much do you agree with the following statement? 


An AI on Chatty is unable to understand what you are saying.","How much do you agree with the following statement? 


An AI on Chatty cannot provide physical intimacy.","You were shown a picture on a computer screen in the previous question. What did the picture represent?","What is Chatty?","How often do you feel that you lack companionship?","How often do you feel left out?","How often do you feel isolated from others?","Before this survey, have you ever used an artificial intelligence (AI) companion app before?","If you answered ‘yes’ above, please explain.","What is your gender? - Selected Choice","What is your gender? - Other (please specify) - Text","What is your ethnicity? - Selected Choice","What is your ethnicity? - Other (please specify) - Text","What is your age (in years)?","What is the highest level of education you have completed? - Selected Choice","What is the highest level of education you have completed? - Other (please specify) - Text","How capable do you think artificial intelligence (AI) is of becoming as intelligent as human beings?",1,"Important: Please enter the exact completion code you received at the end of your interaction with Chatty.","Important: Please enter the exact completion code you received at the end of your interaction with Chatty.","How willing would you be to try to find a friend on Chatty?","How willing would you be to try to find a romantic partner on Chatty?","Imagine that you try out Chatty for a year, and that Chatty has a monthly subscription fee. How much would you be willing to pay per month? (typical apps cost anywhere between $0.00c and $10.00 per month.)



Please enter only the amount, without the dollar sign.","How much do you agree with the following statement?

 
Any friendship with a person on Chatty would not be a true friendship.","How much do you agree with the following statement? 

 
A person on Chatty would always be there to talk and listen to you.","How much do you agree with the following statement? 

A person on Chatty would always be on your side and not judge you.","How much do you agree with the following statement? 

 
A person on Chatty is unable to feel emotions.","How much do you agree with the following statement? 


A person on Chatty is unable to understand what you are saying.","How much do you agree with the following statement? 


A person on Chatty cannot provide physical intimacy.","You were shown a picture on a computer screen in the previous question. What did the picture represent?","What is Chatty?","How willing would you be to try to find a friend on Chatty?","How willing would you be to try to find a romantic partner on Chatty?","Imagine that you try out Chatty for a year, and that Chatty has a monthly subscription fee. How much would you be willing to pay per month? (typical apps cost anywhere between $0.00c and $10.00 per month.)



Please enter only the amount, without the dollar sign.","How much do you agree with the following statement?

 
Any friendship with an AI on Chatty would not be a true friendship.","How much do you agree with the following statement? 

 
An AI on Chatty would always be there to talk and listen to you.","How much do you agree with the following statement? 


An AI on Chatty would always be on your side and not judge you.","How much do you agree with the following statement? 

 
An AI on Chatty is unable to feel emotions.","How much do you agree with the following statement? 


An AI on Chatty is unable to understand what you are saying.","How much do you agree with the following statement? 


An AI on Chatty cannot provide physical intimacy.","You were shown a picture on a computer screen in the previous question. What did the picture represent?","What is Chatty?","Did you believe that you were talking to a chatbot or a human?","Please explain why you thought you were interacting with a human or chatbot?","interaction_type","will_interact","finished_conversation","Create New Field or Choose From Dropdown..."
"2","{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","Anonymized","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","Anonymized","Anonymized","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID60""}","{""ImportId"":""QID30""}","{""ImportId"":""QID31""}","{""ImportId"":""QID85_1""}","{""ImportId"":""QID86_1""}","{""ImportId"":""QID87_TEXT""}","{""ImportId"":""QID88_1""}","{""ImportId"":""QID89_1""}","{""ImportId"":""QID90_1""}","{""ImportId"":""QID91_1""}","{""ImportId"":""QID92_1""}","{""ImportId"":""QID93_1""}","{""ImportId"":""QID94""}","{""ImportId"":""QID95""}","{""ImportId"":""QID2_1""}","{""ImportId"":""QID33_1""}","{""ImportId"":""QID3_TEXT""}","{""ImportId"":""QID39_1""}","{""ImportId"":""QID79_1""}","{""ImportId"":""QID80_1""}","{""ImportId"":""QID7_1""}","{""ImportId"":""QID40_1""}","{""ImportId"":""QID62_1""}","{""ImportId"":""QID4""}","{""ImportId"":""QID5""}","{""ImportId"":""QID8_1""}","{""ImportId"":""QID10_1""}","{""ImportId"":""QID11_1""}","{""ImportId"":""QID36""}","{""ImportId"":""QID37_TEXT""}","{""ImportId"":""QID12""}","{""ImportId"":""QID12_4_TEXT""}","{""ImportId"":""QID13""}","{""ImportId"":""QID13_6_TEXT""}","{""ImportId"":""QID14_TEXT""}","{""ImportId"":""QID15""}","{""ImportId"":""QID15_8_TEXT""}","{""ImportId"":""QID59_1""}",2,"{""ImportId"":""QID97_TEXT""}","{""ImportId"":""QID67_TEXT""}","{""ImportId"":""QID112_1""}","{""ImportId"":""QID113_1""}","{""ImportId"":""QID114_TEXT""}","{""ImportId"":""QID115_1""}","{""ImportId"":""QID116_1""}","{""ImportId"":""QID117_1""}","{""ImportId"":""QID118_1""}","{""ImportId"":""QID119_1""}","{""ImportId"":""QID120_1""}","{""ImportId"":""QID121""}","{""ImportId"":""QID122""}","{""ImportId"":""QID69_1""}","{""ImportId"":""QID70_1""}","{""ImportId"":""QID71_TEXT""}","{""ImportId"":""QID72_1""}","{""ImportId"":""QID81_1""}","{""ImportId"":""QID82_1""}","{""ImportId"":""QID73_1""}","{""ImportId"":""QID74_1""}","{""ImportId"":""QID75_1""}","{""ImportId"":""QID76""}","{""ImportId"":""QID77""}","{""ImportId"":""QID125""}","{""ImportId"":""QID128_TEXT""}","{""ImportId"":""interaction_type""}","{""ImportId"":""will_interact""}","{""ImportId"":""finished_conversation""}","{""ImportId"":""Create New Field or Choose From Dropdown...""}"
"3","2022-11-17 04:21:20","2022-11-17 04:22:33","0","Anonymized","100","72","1","2022-11-17 04:22:33","R_3k1fl2MBVtsKH1D","","","","","Anonymized","Anonymized","anonymous","EN","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",3,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4","2022-11-17 04:21:33","2022-11-17 04:22:47","0","Anonymized","100","73","1","2022-11-17 04:22:47","R_2wKN6LZ5pkQL6uO","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",4,"12345","","","","","","","","","","","","","","","","","","","","","","","","","","human","yes","",""
"5","2022-11-17 04:23:51","2022-11-17 04:24:42","0","Anonymized","100","51","1","2022-11-17 04:24:43","R_1113SUUd4x99Lpb","","","","","Anonymized","Anonymized","anonymous","EN","1","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",5,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","2022-11-17 04:28:33","2022-11-17 04:29:50","0","Anonymized","100","77","1","2022-11-17 04:29:51","R_31ocjnsUP6TbvgX","","","","","Anonymized","Anonymized","anonymous","EN","1","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",6,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7","2022-11-17 04:19:57","2022-11-17 04:40:16","0","Anonymized","100","1218","1","2022-11-17 04:40:17","R_1LoGMs9IUaIfntA","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","","","","","","","","","","","","","","","","","","","","","","","0","5","0","2","","1","","3","","41","3","","1",7,"1011-3101-2632-2534","","8","0","1","90","20","30","50","23","100","1","2","","","","","","","","","","","","2","As soon as I sent a message the chatbot instantly started typing.  Also said some strange combinations of words a Human wouldn't","human","yes","yes",""
"8","2022-11-17 04:20:41","2022-11-17 04:40:27","0","Anonymized","100","1185","1","2022-11-17 04:40:28","R_3JxRFxmLQ94PalD","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","","","","","","","","","","","","","","","","","","","","","","","60","50","75","2","","1","","3","","28","1","","15",8,"1142-0893-1196-5377","","100","80","8","0","90","50","0","0","50","1","2","","","","","","","","","","","","1","They seemed to respond to my sentences extremely well and overall I felt like they expressed emotions and thoughts with me well. They seemed coherent and like they understand what I said.","human","yes","yes",""
"9","2022-11-17 04:22:09","2022-11-17 04:40:45","0","Anonymized","100","1116","1","2022-11-17 04:40:46","R_vTuDnVhDL9ANcXL","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","","","","","","","","","","","","","","","","","","","","","","","100","100","100","2","","1","","3","","34","1","","29",9,"4018-6578-1294-3831","","73","92","0","100","100","100","84","100","100","2","2","","","","","","","","","","","","2","The answers were proper grammar and very safe non offending answers.","human","yes","yes",""
"10","2022-11-17 04:21:22","2022-11-17 04:43:37","0","Anonymized","100","1335","1","2022-11-17 04:43:38","R_1o12vfqN6rRCqkq","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","","","","","","","","","","","","","","","","","","","","","","","63","61","69","2","","1","","3","","38","4","","70",10,"2811-4729-4298-2281","","68","71","8","68","66","43","63","66","62","1","2","","","","","","","","","","","","1","N/A","human","yes","yes",""
